code,first_name,second_name,web_name,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,24-25,fbref,understat,transfermarkt,dob,display_name
12390,Allan,McGregor,McGregor,146,,,,,,,,,f3a97d02,4409,9422,381283200000,Allan McGregor
12413,Robert,Huth,Huth,173,194,,,,,,,,0bd1ea64,747,2998,461635200000,Robert Huth
12496,Víctor,Valdés,Valdés,274,,,,,,,,,e029e404,1705,7589,379814400000,Víctor Valdés
12679,Michael,Dawson,Dawson,150,,,,,,,,,4771114f,1744,9988,437961600000,Michael Dawson
12744,David,Nugent,Nugent,291,,,,,,,,,f9b5e5bd,1753,33963,483840000000,David Nugent
12745,Leighton,Baines,Baines,125,138,156,145,,,,,,b18095b6,588,13507,471571200000,Leighton Baines
12813,Jonathan,Walters,Walters,330,89,81,,,,,,,0356cf4f,863,3306,432864000000,Jonathan Walters
13017,Wayne,Rooney,Rooney,269,161,,,,,,,,f07be45a,629,3332,498960000000,Wayne Rooney
13152,Andy,King,King,178,201,,480,,,,,,d790907f,784,56872,594086400000,Andy King
14075,Patrice,Evra,Evra,,626,,,,,,,,51a3caf1,1298,5285,358732800000,Patrice Evra
14295,Darren,Fletcher,Fletcher,439,346,,,,,,,,184e4970,809,3547,444441600000,Darren Fletcher
14664,Gnegneri Yaya,Touré,Yaya Touré,231,249,,,,,,,,c204f844,878,13091,421632000000,Yaya Touré
14927,Greg,Halford,Halford,,,97,,,,,,,06d45e81,,42062,471312000000,Gregory Halford
14937,Cristiano Ronaldo,dos Santos Aveiro,Ronaldo,,,,,,579,326,,,dea698d9,2371,8198,476409600000,Cristiano Ronaldo
15033,Wes,Morgan,Morgan,167,191,215,165,216,,,,,80c31c97,748,10003,443491200000,Wes Morgan
15109,Tom,Huddlestone,Huddlestone,160,,,,,,,,,464cbbc9,1695,13465,536112000000,Tom Huddlestone
15114,Leon,Britton,Britton,370,361,,,,,,,,b92dd711,830,40043,400982400000,Leon Britton
15137,Liam,Rosenior,Rosenior,,60,,,,,,,,8b0d6fe9,4462,15166,458179200000,Liam Rosenior
15144,David,Marshall,Marshall,554,,,,,,,,,4d93d433,1684,9500,478828800000,David Marshall
15149,Simon,Francis,Francis,31,32,26,62,,,,,,1e0b6a73,456,13573,477360000000,Simon Francis
15157,James,Milner,Milner,208,222,254,200,241,221,274,142,134,2f90f6b8,489,3333,505180800000,James Milner
15208,Bastian,Schweinsteiger,Schweinsteiger,265,,,,,,,,,ccc22fea,907,2514,460166400000,Bastian Schweinsteiger
15237,Andrew,Surman,Surman,39,41,35,80,,,,,,7d41b619,460,29975,524880000000,Andrew Surman
15276,Joey,Barton,Barton,626,,,,,,,,,93bfa675,4430,3292,399772800000,Joey Barton
15633,Alex,Baptiste,Baptiste,522,,,,,,,,,7b72f0b6,1783,16660,507513600000,Alex Baptiste
15749,Joe,Hart,Hart,218,479,490,95,482,352,,,,cb4f24c6,609,40204,545788800000,Joe Hart
15885,Adam,Federici,Federici,30,31,,,,,,,,e5ea8be7,469,4233,475977600000,Adam Federici
15944,Michael,Kightly,Kightly,66,,,,,,,,,26e5c484,1668,25366,506908800000,Michael Kightly
15982,Dean,Marney,Marney,64,83,,,,,,,,b3379356,1658,4055,444355200000,Dean Marney
16045,Ben,Watson,Watson,418,486,,,,,,,,df540668,571,14081,489715200000,Ben Watson
17127,Per,Mertesacker,Mertesacker,4,5,,,,,,,,5be28712,507,6710,465264000000,Per Mertesacker
17336,Gaël,Clichy,Clichy,223,,,,,,,,,450ad405,613,7449,491184000000,Gaël Clichy
17339,Steven,Davis,Davis,305,316,337,,,,,,,cf15bbb1,883,28973,473385600000,Steven Davis
17349,Aaron,Lennon,Lennon,142,153,83,430,,575,,,,2ff964a0,593,14221,545529600000,Aaron Lennon
17476,Vincent,Kompany,Kompany,222,244,263,,,,,,,d2bff301,612,9594,513475200000,Vincent Kompany
17601,Scott,Carson,Carson,,,,562,608,593,502,347,344,3e1550ee,8158,14555,494553600000,Scott Carson
17740,Jesús,Navas,Navas,232,,,,,,,,,3f10bd22,616,15956,501379200000,Jesús Navas
17745,Kasper,Schmeichel,Schmeichel,165,189,213,168,217,200,248,,,53af52f3,745,16911,531532800000,Kasper Schmeichel
17761,James,Tarkowski,Tarkowski,59,79,72,84,81,98,199,265,236,15ea812b,1665,173504,722131200000,James Tarkowski
17878,Cesc,Fàbregas,Fàbregas,83,105,123,,,,,,,33508c78,686,8806,547084800000,Cesc Fàbregas
17997,Phil,Bardsley,Bardsley,323,334,75,86,82,99,,,,1ae30132,857,15773,488764800000,Phil Bardsley
18006,Martin,Cranie,Cranie,,168,,,,,,,,9e53837d,6344,27659,528076800000,Martin Cranie
18008,James,Morrison,Morrison,441,428,,,,,,,,21a66e33,990,27614,517363200000,James Morrison
18073,Mark,Noble,Noble,458,450,411,396,427,406,,,,ff527768,533,31835,547430400000,Mark Noble
18155,Mathieu,Flamini,Flamini,576,,,,,,,,,148d4105,895,17396,447465600000,Mathieu Flamini
18440,Leon,Clarke,Clarke,,,,547,,,,,,91c975a0,8061,36859,476841600000,Leon Clarke
18499,Michael,McGovern,McGovern,,,,281,,313,,,,51a19d04,8022,29391,458438400000,Michael McGovern
18507,Diego,Da Silva Costa,Diego Costa,97,114,,,,,625,,,a190d597,802,44779,592185600000,Diego Costa
18656,Heurelho da Silva,Gomes,Gomes,407,397,373,513,,,,,,d596e193,564,105112,351043200000,Heurelho Gomes
18665,Alexander,Tettey,Tettey,,,,289,,,,,,75566759,791,12384,512956800000,Alexander Tettey
18726,Artur,Boruc,Boruc,29,30,25,73,,,,,,34ccf6fa,455,15220,319852800000,Artur Boruc
18759,Álvaro,Arbeloa,Arbeloa,568,,,,,,,,,6dc73abd,1704,28260,411609600000,Álvaro Arbeloa
18805,Joe,Ledley,Ledley,113,,,,,,,,,c221f149,517,34409,538358400000,Joe Ledley
18832,Richard,Stearman,Stearman,,,,296,,,,,,9a3a436e,7989,34349,556329600000,Richard Stearman
18867,Billy,Sharp,Sharp,,,,298,343,,,,,e8c9f4e9,7712,49542,507945600000,Billy Sharp
18892,Ashley,Young,Young,260,277,293,224,,52,538,588,238,be927d03,631,14086,489715200000,Ashley Young
18987,Robert,Snodgrass,Snodgrass,155,448,489,393,428,,,,,9f4647e9,1691,22614,557971200000,Robert Snodgrass
19057,Sebastian,Larsson,Larsson,349,,,,,,,,,b26efc36,740,31720,486864000000,Sebastian Larsson
19071,Uwe,Hünemeier,Hünemeier,,57,,,,,,,,f42456eb,4258,10503,505612800000,Uwe Hünemeier
19101,Dimitrios,Konstantopoulos,Konstantopoulos,273,,,,,,,,,05778dfe,1767,50552,281145600000,Dimitrios Konstantopoulos
19115,Curtis,Davies,Davies,149,,,,,,,,,607fb965,1686,18227,479692800000,Curtis Davies
19151,Chris,Brunt,Brunt,438,434,,,,,,,,ec7e6ad1,904,36814,471830400000,Chris Brunt
19159,Ashley,Williams,Williams,359,143,159,,,,,,,a498e276,709,67355,462067200000,Ashley Williams
19188,Scott,Dann,Dann,104,118,139,127,486,,,,,52105203,512,62688,540259200000,Scott Dann
19194,David,Martin,Martin,,,,553,429,,,,,07666c20,8082,15930,506736000000,David Martin
19197,Jason,Puncheon,Puncheon,110,125,146,,,,,,,fd3f57ce,514,47995,519436800000,Jason Puncheon
19236,John,Ruddy,Ruddy,,,421,412,453,452,,,414,da8b19e2,785,29712,530496000000,John Ruddy
19272,Gareth,McAuley,McAuley,436,425,,,,,,,,ac7d7378,806,40567,313200000000,Gareth McAuley
19342,Ikechi,Anya,Anya,419,,,,,,,,,c55e973d,577,107427,568166400000,Ikechi Anya
19419,Gary,Cahill,Cahill,78,98,114,503,125,,,,,7914b9fe,699,27511,503798400000,Gary Cahill
19520,Ryan,Babel,Babel,,,575,,,,,,,6438d426,5176,16135,535334400000,Ryan Babel
19523,Sol,Bamba,Bamba,,,91,,,,,,,5534217d,4027,28984,474422400000,Sol Bamba
19524,Santiago,Cazorla,Cazorla,15,17,,,,,,,,e2e9c250,965,15799,471744000000,Santi Cazorla
19556,David,Jones,Jones,61,,,,,,,,,2f0edbe7,1787,24634,468374400000,David Jones
19568,Ibrahim,Afellay,Afellay,332,341,,,,,,,,9a8c6673,864,15760,512784000000,Ibrahim Afellay
19624,João Filipe Iria,Santos Moutinho,Moutinho,,,475,415,454,426,503,,,f5a00fa4,3422,29364,526521600000,João Moutinho
19687,Alex,Bruce,Bruce,154,,,,,,,,,102ed2b2,4411,37957,465177600000,Alex Bruce
19760,Fernando,Llorente,Llorente,500,371,371,,,,,,,82dbf623,1728,35564,478224000000,Fernando Llorente
19812,Dusan,Kuciak,Kuciak,517,,,,,,,,,c78c8c27,1772,31886,485481600000,Dusan Kuciak
19838,Robert,Elliot,Elliot,,286,307,573,,574,,,,b1b25949,763,39037,515203200000,Robert Elliot
20037,Marc,Pugh,Pugh,38,40,34,,,,,,,9aacb284,466,36939,544320000000,Marc Pugh
20046,Stefano,Okaka,Okaka,552,418,397,,,,,,,601ef102,1763,35249,618624000000,Stefano Okaka
20047,Jordan,Rhodes,Rhodes,292,,,,,,,,,3b8b641c,1714,48950,634176000000,Jordan Rhodes
20066,Wayne,Hennessey,Hennessey,100,115,135,132,126,480,518,448,721,76eca7e2,509,45494,538444800000,Wayne Hennessey
20145,Adrian,Mariappa,Mariappa,556,405,382,356,,,,,,8aa5f52c,524,38145,528681600000,Adrian Mariappa
20208,Charlie,Adam,Adam,328,338,,,,,,,,aff418dc,873,28990,503020800000,Charlie Adam
20310,Willy,Caballero,Caballero,219,96,112,112,101,641,424,,,a179d516,624,19948,370483200000,Willy Caballero
20399,Antonio,Barragán,Barragán,477,,,,,,,,,487d9b09,1706,32522,550454400000,Antonio Barragán
20452,Shane,Long,Long,313,325,347,315,361,519,,,,9f472354,839,37304,538272000000,Shane Long
20467,Theo,Walcott,Walcott,13,15,164,153,148,332,400,,,1ecb65be,503,33713,606009600000,Theo Walcott
20480,Tim,Krul,Krul,,540,,280,,314,,665,,f23f9d20,982,33027,576028800000,Tim Krul
20481,Stephen,Ireland,Ireland,327,590,,,,,,,,bcf30f17,867,34838,525052800000,Stephen Ireland
20487,Vito,Mannone,Mannone,339,,,,,,,,,c4173f1a,726,33781,573264000000,Vito Mannone
20529,Glenn,Murray,Murray,,71,62,44,53,,,,,f2f29dda,882,45693,433296000000,Glenn Murray
20658,Pablo,Zabaleta,Zabaleta,221,447,405,379,,,,,,6813ac34,610,20007,474681600000,Pablo Zabaleta
20664,David,Silva,David Silva,230,248,271,219,,,,,,e2716bd0,617,35518,505526400000,David Silva
20669,Shaun,MacDonald,MacDonald,41,,,,,,,,,fdcff59c,471,10375,582508800000,Shaun MacDonald
20695,Antonio,Valencia,Valencia,250,267,288,,,,,,,08aa17d0,627,33544,491961600000,Antonio Valencia
21083,Nathan,Dyer,Dyer,376,366,,,,,,,,6dfd5af0,783,37011,565142400000,Nathan Dyer
21123,Valon,Behrami,Behrami,420,410,,,,,,,,d3d758d8,570,21905,482716800000,Valon Behrami
21205,Tom,Heaton,Heaton,54,74,67,94,28,509,348,384,374,a6de6361,1651,34130,513907200000,Tom Heaton
21246,Lewis,Grabban,Grabban,51,,,,,,,,,1a857282,467,35413,568944000000,Lewis Grabban
26719,Rene,Gilmartin,Gilmartin,683,,,,,,,,,f1b7c957,969,66518,549417600000,Rene Gilmartin
26901,Kevin,Mirallas,Mirallas,133,148,469,,,,,,,aa51343f,595,33639,560390400000,Kevin Mirallas
26921,Arouna,Koné,Koné,144,,,,,,,,,f9a72ca4,601,8552,437356800000,Arouna Koné
27334,Mathieu,Debuchy,Debuchy,8,564,,,,,,,,92232aad,967,27306,491356800000,Mathieu Debuchy
27335,Stephan,Lichtsteiner,Lichtsteiner,,,11,,,,,,,99b1d0e6,1303,2865,443059200000,Stephan Lichtsteiner
27341,Yohan,Cabaye,Cabaye,118,129,,,,,,,,ad7b19ef,516,29434,506044800000,Yohan Cabaye
27436,David,McGoldrick,McGoldrick,,,,303,344,,,,,dbe56a33,7711,35416,565142400000,David McGoldrick
27462,Jesús,Gámez Duarte,Gámez,,293,,,,,,,,bd1d1cbb,2329,29055,481939200000,Jesús Gámez
27698,Matthew,Connolly,Connolly,,,93,,,,,,,2797fc1d,7237,34559,559440000000,Matthew Connolly
27707,Darron,Gibson,Gibson,138,,,,,,,,,f0e72e1c,921,42413,562118400000,Darron Gibson
27770,Birkir,Bjarnason,Bjarnason,,,,33,,,,,,da13074e,8269,34453,580694400000,Birkir Bjarnason
27789,Fernando,Luiz Rosa,Fernandinho,233,250,272,221,266,453,,,,101da2b5,614,26267,484012800000,Fernandinho
28082,Ralf,Fahrmann,Fahrmann,,,,449,,,,,,1e43fad8,330,39015,591321600000,Ralf Fährmann
28147,Mohamed,Diamé,Diamé,159,298,319,,,,,,,b7d082af,4471,70950,550627200000,Mohamed Diamé
28160,Mario,Suárez,Suárez,423,,,,,,,,,7106f0a0,576,37337,541123200000,Mario Suárez
28244,George,Boyd,Boyd,62,,,,,,,,,0a9048ce,1656,45623,497059200000,George Boyd
28411,Keylor,Navas,Navas,,,,,,,729,,,ecada4fc,2243,79422,534988800000,Keylor Navas
28448,Lee,Cattermole,Cattermole,348,,,,,,,,,538e77d5,738,37363,574905600000,Lee Cattermole
28462,Sam,Baldock,Baldock,,73,64,,,,,,,9d597f08,6430,67211,605923200000,Sam Baldock
28468,Craig,Gardner,Gardner,440,,,,,,,,,1117b9ff,812,37171,533260800000,Craig Gardner
28495,John Obi,Mikel,Mikel,89,,,,,,,,,424d5f72,685,30739,546048000000,John Obi Mikel
28541,Fraizer,Campbell,Campbell,121,,,,,,,,,81d63375,634,42411,558489600000,Fraizer Campbell
28554,Samir,Nasri,Nasri,229,,569,,,,,,,165bed61,877,18935,551664000000,Samir Nasri
28593,Victor,Anichebe,Anichebe,575,,,,,,,,,4aed5c19,818,39532,577756800000,Victor Anichebe
28609,Adam,Legzdins,Legzdins,,545,,,,,,,,f5b114ca,6302,43858,533520000000,Adam Legzdins
28654,Martin,Olsson,Olsson,633,358,,,,,,,,2f72f79e,798,38073,579830400000,Martin Olsson
28690,Pablo,Hernández Domínguez,Hernández,,,,,193,182,,,,c0398aca,2164,46220,482025600000,Pablo Hernández
32259,Darren,Randolph,Randolph,451,439,,606,430,407,571,80,,6385ebfb,540,51321,547776000000,Darren Randolph
32318,Marc,Wilson,Marc Wilson,319,,,,,,,,,c325c010,945,30456,556156800000,Marc Wilson
33148,Claudio,Bravo,Bravo,541,241,261,213,267,,,,,10072610,1731,40423,419040000000,Claudio Bravo
33871,Ragnar,Klavan,Klavan,474,220,244,,,,,,,008a6e6d,265,26669,499478400000,Ragnar Klavan
34654,Lukas,Jutkiewicz,Jutkiewicz,69,,,,,,,,,3943a06f,1664,33507,607046400000,Lukas Jutkiewicz
36903,Gareth,Bale,Bale,,,,,543,,,,,a58bb1e1,2251,39381,616550400000,Gareth Bale
37002,Rouwen,Hennings,Hennings,71,,,,,,,,,17611373,7060,16311,557107200000,Rouwen Hennings
37096,Łukasz,Fabiański,Fabianski,356,350,400,388,431,408,455,533,521,9328b835,706,29692,482630400000,Lukasz Fabianski
37265,Alexis,Sánchez,Sánchez,12,14,295,240,,,,,,2c0f8e9e,498,40433,598492800000,Alexis Sánchez
37339,Ahmed,El Mohamady,El Mohamady,158,,,22,29,,,,,615ef733,1685,66333,558144000000,Ahmed El Mohamady
37388,Marcin,Wasilewski,Wasilewski,170,,,,,,,,,24249219,760,16947,329356800000,Marcin Wasilewski
37402,Christian,Fuchs,Fuchs,168,192,216,163,218,,,,,a67a09fb,749,6636,513216000000,Christian Fuchs
37572,Sergio,Agüero,Agüero,239,257,280,210,268,,,,,4d034881,619,26399,581212800000,Sergio Agüero
37605,Mesut,Özil,Özil,14,16,13,15,1,,,,,16380240,499,35664,592876800000,Mesut Özil
37614,Mario,Vrancic,Vrancic,,,,282,,,,,,16fa6881,12,39372,611884800000,Mario Vrancic
37642,Jonny,Evans,Evans,431,423,222,162,219,201,249,703,371,f8fcd2a5,807,42412,568166400000,Jonny Evans
37742,Younes,Kaboul,Kaboul,341,398,375,,,,,,,3680d723,736,27114,505180800000,Younes Kaboul
37748,Bacary,Sagna,Sagna,224,,,,,,,,,6ef56efd,625,26764,414028800000,Bacary Sagna
37869,Ryan,Shawcross,Shawcross,318,330,,,,,,,,285a3d44,886,45861,560304000000,Ryan Shawcross
37901,Dimitri,Payet,Payet,461,,,,,,,,,58ae47b2,536,37647,543974400000,Dimitri Payet
37915,Hugo,Lloris,Lloris,380,375,351,340,383,353,425,502,,8f62b6ee,637,17965,535939200000,Hugo Lloris
37998,Bafétimbi,Gomis,Gomis,377,,,,,,,,,3d6686f9,717,22388,492134400000,Bafétimbi Gomis
38038,Ben,Hamer,Hamer,583,190,190,,,,,,,d822a850,1759,67283,564364800000,Ben Hamer
38290,Danny,Rose,Rose,383,378,354,332,384,377,,,,89d10e53,641,50174,646876800000,Danny Rose
38411,Nacho,Monreal,Monreal,10,10,5,6,,,,,,d4cb83cc,495,43003,509760000000,Nacho Monreal
38419,Loïc,Remy,Remy,98,,,,,,,,,5c2da10f,690,45121,536544000000,Loïc Rémy
38439,Etienne,Capoue,Capoue,416,409,389,373,,,,,,5acc4a10,572,63494,584582400000,Étienne Capoue
38454,Dejan,Lovren,Lovren,191,215,239,186,,,,,,1a2935f6,602,37838,615600000000,Dejan Lovren
38490,Beram,Kayal,Kayal,,64,57,56,,,,,,26679cdf,6409,44741,578534400000,Beram Kayal
38499,Tomer,Hemed,Hemed,,72,63,,,,,,,27d7453c,4046,112668,546912000000,Tomer Hemed
38533,Rui Pedro,dos Santos Patrício,Patrício,,,454,411,455,427,,,,79b0d6a0,6849,45026,571881600000,Rui Patrício
38580,Jose,Fonte,Fonte,297,440,,,,,,,,90f87966,834,33829,440899200000,José Fonte
38588,Gaetano,Berardi,Berardi,,,,,685,,,,,5348aada,9423,43084,588124800000,Gaetano Berardi
38716,Lee,Peltier,Peltier,,,95,,600,,,,,af341b88,6822,38094,534643200000,Lee Peltier
39104,Mousa,Dembélé,Dembélé,391,385,362,,,,,,,f7ee69fb,642,19368,553392000000,Mousa Dembélé
39155,Adam,Lallana,Lallana,205,228,250,195,54,53,101,138,463,99813635,486,43530,579225600000,Adam Lallana
39158,Scott,Arfield,Arfield,63,82,,,,,,,,b1313ec4,1659,55291,594345600000,Scott Arfield
39167,Andrea,Ranocchia,Ranocchia,638,,,,,,,,,539230cf,1522,44327,571968000000,Andrea Ranocchia
39187,Jeremain,Lens,Lens,351,,,,,,,,,6f1721f0,781,38497,564710400000,Jeremain Lens
39194,Jan,Vertonghen,Vertonghen,385,380,355,330,,,,,,ba23a904,640,43250,546220800000,Jan Vertonghen
39215,Michel,Vorm,Vorm,381,376,352,555,,,,,,1bebde9d,651,26276,435456000000,Michel Vorm
39253,Jonas,Olsson,Olsson,432,,,,,,,,,48844a9b,805,25248,416102400000,Jonas Olsson
39270,Marvin,Emnes,Emnes,378,,,,,,,,,a5900d91,829,37787,580694400000,Marvin Emnes
39472,Dieumerci,Mbokani,Mbokani,569,,,,,,,,,d9847696,795,44624,501465600000,Dieumerci Mbokani
39476,Sokratis,Papastathopoulos,Sokratis,,,12,5,2,,,,,b682dcf6,371,34322,581817600000,Sokratis Papastathopoulos
39487,Erik,Pieters,Pieters,321,332,,447,83,100,,,,1ef37668,887,43763,586915200000,Erik Pieters
39725,Anders,Lindegaard,Lindegaard,,554,485,,,,,,,636f1a28,950,22491,450662400000,Anders Lindegaard
39790,Francisco,Casilla Cortés,Casilla,,,,,194,183,,,,58bc7d18,2259,27486,528595200000,Kiko Casilla
39847,Steven,Defour,Defour,525,85,77,99,,,,,,73489527,1657,33866,577065600000,Steven Defour
40002,Matteo,Darmian,Darmian,251,268,289,230,,,,,,96e0490d,557,54906,628560000000,Matteo Darmian
40142,Andy,Carroll,Carroll,468,457,418,520,320,,,,,b581987a,537,48066,600048000000,Andy Carroll
40145,Jack,Cork,Cork,367,90,82,102,84,101,,163,,74e12f1e,712,40613,614736000000,Jack Cork
40146,Ryan,Bertrand,Bertrand,296,307,330,305,362,473,250,,,01226327,835,40611,618278400000,Ryan Bertrand
40202,George,Friend,Friend,276,,,,,,,,,4f97147d,1708,77544,561427200000,George Friend
40232,Gonzalo,Higuaín,Higuaín,,,579,,,,,,,8a08491a,1293,39153,566092800000,Gonzalo Higuaín
40276,Bojan,Krkic Perez,Bojan,335,344,,,,,,,,9fa0a0b8,871,44675,651801600000,Bojan
40346,Erwin,Mulder,Mulder,,576,,,,,,,,b3576b7c,6431,56631,604886400000,Erwin Mulder
40349,Asmir,Begovic,Begovic,74,29,24,72,,481,176,,624,7b4de647,694,33873,551145600000,Asmir Begovic
40383,Fraser,Forster,Forster,294,306,329,317,523,333,426,498,488,c3e39f12,831,52570,574560000000,Fraser Forster
40386,Chris,Basham,Basham,,,,423,345,,,474,,1aa84968,7704,52495,585360000000,Chris Basham
40387,Dan,Gosling,Gosling,43,43,37,81,,378,,,,7fec31a0,462,44983,633830400000,Dan Gosling
40399,Sam,Vokes,Vokes,67,91,84,,,,,,,1d6ac165,1661,48078,624931200000,Sam Vokes
40451,Anthony,Pilkington,Pilkington,,,103,,,,,,,b31af577,,67322,581558400000,Anthony Pilkington
40555,Joe,Allen,Allen,202,337,,,,,,,,9feb8f24,480,51452,637372800000,Joe Allen
40559,Fabricio,Agosto Ramírez,Fabri,,,474,,171,,,,,af245161,2587,45882,567907200000,Fabri
40564,Henri,Lansbury,Lansbury,,,,35,30,,,,,fe8e6fa1,7727,44794,655689600000,Henri Lansbury
40616,Stephen,Ward,Ward,57,78,71,,,,,,,3831b9fe,1655,34691,493344000000,Stephen Ward
40669,Angelo,Ogbonna,Ogbonna,456,444,403,377,432,409,456,577,,74b2cd7e,528,48002,580348800000,Angelo Ogbonna
40694,Roberto,Jimenez Gago,Roberto,,,,450,433,,,,,ba3ca78f,5087,37403,508377600000,Roberto Jiménez
40720,Edinson,Cavani,Cavani,,,,,569,269,,,,527f063d,3294,48280,540259200000,Edinson Cavani
40725,Danny,Simpson,Simpson,172,193,217,,,,,,,3201b03d,746,37442,536716800000,Danny Simpson
40755,Daniel,Sturridge,Sturridge,214,236,472,,,,,,,1b7ec703,483,47082,620611200000,Daniel Sturridge
40772,Gökhan,Inler,Inler,180,,,,,,,,,3200c583,761,19041,457142400000,Gökhan Inler
40784,Mamadou,Sakho,Sakho,190,221,143,125,127,,,,,87935cf3,485,47713,634867200000,Mamadou Sakho
40833,Jérémy,Pied,Pied,492,312,,,,,,,,a634b9d2,1784,60583,604195200000,Jérémy Pied
40836,Vicente,Guaita,Guaita,,,137,131,128,146,152,227,,ab13a5aa,2190,64399,537235200000,Vicente Guaita
40845,Dale,Stephens,Stephens,,63,56,57,55,102,,,,653ee42d,6051,49755,613612800000,Dale Stephens
40868,José,Holebas,Holebas,411,401,378,353,,,,,,12aa7661,568,41112,457142400000,José Holebas
41135,Branislav,Ivanovic,Ivanovic,76,,,,530,,,,,85f8571a,682,36827,446256000000,Branislav Ivanovic
